Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free,Ego_X,Ego_Y
55,2.75,59.89,95.00,-0.0160,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.98,261.55
56,2.80,61.03,95.00,-0.0167,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.88,262.39
57,2.85,62.16,95.00,-0.0171,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.78,263.24
58,2.90,63.28,95.00,-0.0175,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.67,264.11
59,2.95,64.41,95.00,-0.0177,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.56,264.99
60,3.00,65.53,95.00,-0.0179,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.44,265.88
61,3.05,66.65,95.00,-0.0155,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.31,266.79
62,3.10,67.77,95.00,-0.0158,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.18,267.72
63,3.15,68.88,95.00,-0.0168,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.04,268.66
64,3.20,70.00,95.00,-0.0173,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.89,269.61
65,3.25,71.11,95.00,-0.0177,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.74,270.58
66,3.30,72.21,95.00,-0.0180,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.57,271.57
67,3.35,73.32,95.00,-0.0182,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.40,272.56
68,3.40,74.42,95.00,-0.0146,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.23,273.58
69,3.45,75.52,95.00,-0.0167,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.04,274.60
70,3.50,76.61,95.00,-0.0172,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-511.85,275.64
71,3.55,77.71,95.00,-0.0177,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-511.65,276.70
72,3.60,78.80,95.00,-0.0181,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-511.44,277.76
73,3.65,79.89,95.00,-0.0184,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-511.22,278.85
74,3.70,80.97,95.00,-0.0150,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-510.99,279.94
75,3.75,82.06,95.00,-0.0171,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-510.75,281.05
76,3.80,83.14,95.00,-0.0177,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-510.51,282.17
77,3.85,84.21,95.00,-0.0170,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-510.25,283.31
78,3.90,85.29,95.00,-0.0166,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-509.98,284.45
79,3.95,86.36,95.00,-0.0165,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-509.71,285.62
80,4.00,87.43,95.00,-0.0128,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-509.42,286.79
81,4.05,88.50,95.00,-0.0148,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-509.12,287.98
82,4.10,89.56,95.00,-0.0154,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-508.81,289.17
83,4.15,90.63,95.00,-0.0160,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-508.49,290.39
84,4.20,91.69,95.00,-0.0167,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-508.16,291.61
85,4.25,92.74,95.00,-0.0135,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-507.82,292.85
86,4.30,93.80,95.00,-0.0160,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-507.47,294.09
87,4.35,94.85,95.00,-0.0171,0.34,0.00,KEEP_LANE,-4,999.00,True,False,-507.11,295.35
88,4.40,95.84,95.00,-0.0179,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-506.73,296.63
89,4.45,96.45,95.00,-0.0186,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-506.35,297.91
90,4.50,96.43,95.00,-0.0156,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-505.95,299.19
91,4.55,95.89,95.00,-0.0181,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-505.55,300.46
92,4.60,95.00,95.00,-0.0188,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-505.14,301.72
93,4.65,93.88,95.00,-0.0191,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-504.73,302.96
94,4.70,92.62,95.00,-0.0189,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-504.32,304.19
95,4.75,91.43,95.00,-0.0150,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-503.90,305.40
96,4.80,90.51,95.00,-0.0165,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-503.48,306.59
97,4.85,89.98,95.00,-0.0166,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-503.06,307.77
98,4.90,89.86,95.00,-0.0167,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-502.63,308.94
99,4.95,90.03,95.00,-0.0169,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-502.19,310.11
100,5.00,90.43,95.00,-0.0135,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-501.73,311.28
101,5.05,90.98,95.00,-0.0156,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-501.27,312.45
102,5.10,91.66,95.00,-0.0166,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-500.80,313.63
103,5.15,92.41,95.00,-0.0173,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-500.32,314.81
104,5.20,93.24,95.00,-0.0178,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-499.82,316.00
105,5.25,94.11,95.00,-0.0146,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-499.31,317.20
106,5.30,95.02,95.00,-0.0169,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-498.79,318.41
107,5.35,95.90,95.00,-0.0176,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-498.26,319.62
108,5.40,96.42,95.00,-0.0182,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-497.71,320.84
109,5.45,96.33,95.00,-0.0188,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-497.16,322.06
110,5.50,95.74,95.00,-0.0156,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-496.60,323.27
