Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free,Ego_X,Ego_Y
55,2.75,59.89,95.00,-0.0182,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.29,261.51
56,2.80,61.02,95.00,-0.0185,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.16,262.35
57,2.85,62.15,95.00,-0.0186,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-513.02,263.19
58,2.90,63.28,95.00,-0.0188,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.88,264.05
59,2.95,64.40,95.00,-0.0189,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.73,264.93
60,3.00,65.52,95.00,-0.0190,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.57,265.82
61,3.05,66.64,95.00,-0.0164,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.41,266.72
62,3.10,67.76,95.00,-0.0173,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.24,267.64
63,3.15,68.87,95.00,-0.0181,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-512.06,268.57
64,3.20,69.99,95.00,-0.0187,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-511.87,269.52
65,3.25,71.09,95.00,-0.0191,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-511.67,270.48
66,3.30,72.20,95.00,-0.0194,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-511.47,271.46
67,3.35,73.30,95.00,-0.0195,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-511.26,272.45
68,3.40,74.40,95.00,-0.0163,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-511.04,273.45
69,3.45,75.50,95.00,-0.0177,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-510.81,274.47
70,3.50,76.60,95.00,-0.0178,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-510.57,275.50
71,3.55,77.69,95.00,-0.0182,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-510.32,276.54
72,3.60,78.78,95.00,-0.0186,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-510.06,277.60
73,3.65,79.87,95.00,-0.0189,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-509.79,278.67
74,3.70,80.95,95.00,-0.0159,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-509.51,279.75
75,3.75,82.04,95.00,-0.1629,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-509.22,280.85
76,3.80,82.98,95.00,-0.0933,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-508.92,281.95
77,3.85,83.98,95.00,-0.0761,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-508.59,283.07
78,3.90,85.00,95.00,-0.0585,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-508.25,284.19
79,3.95,86.03,95.00,-0.0415,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-507.88,285.32
80,4.00,87.06,95.00,-0.0249,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-507.50,286.46
81,4.05,88.09,95.00,-0.0136,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-507.09,287.61
82,4.10,89.13,95.00,-0.0048,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-506.66,288.77
83,4.15,90.17,95.00,0.0008,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-506.21,289.93
84,4.20,91.22,95.00,0.0035,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-505.75,291.10
85,4.25,92.27,95.00,0.0098,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-505.26,292.28
86,4.30,93.33,95.00,0.0114,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-504.76,293.47
87,4.35,94.39,95.00,0.0107,0.80,0.00,KEEP_LANE,-3,999.00,True,True,-504.24,294.67
88,4.40,95.41,95.00,0.0072,0.00,0.00,KEEP_LANE,-3,999.00,True,True,-503.71,295.88
89,4.45,96.24,95.00,0.0025,0.00,0.00,KEEP_LANE,-3,999.00,True,True,-503.17,297.09
90,4.50,96.56,95.00,-0.0000,0.00,0.00,KEEP_LANE,-3,999.00,True,True,-502.62,298.32
91,4.55,96.28,95.00,-0.0049,0.00,0.00,KEEP_LANE,-3,999.00,True,True,-502.06,299.54
92,4.60,95.56,95.00,-0.0081,0.00,0.00,KEEP_LANE,-3,999.00,True,True,-501.51,300.75
93,4.65,94.56,95.00,-0.0105,0.70,0.00,KEEP_LANE,-3,999.00,True,True,-500.96,301.95
94,4.70,93.39,95.00,-0.0120,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-500.41,303.13
95,4.75,92.26,95.00,-0.0109,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-499.87,304.30
96,4.80,91.38,95.00,-0.0132,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-499.33,305.45
97,4.85,90.90,95.00,-0.0148,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-498.80,306.60
98,4.90,90.81,95.00,-0.0162,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-498.26,307.74
99,4.95,91.01,95.00,-0.0173,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-497.71,308.88
100,5.00,91.42,95.00,-0.0157,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-497.16,310.02
101,5.05,91.99,95.00,-0.0173,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-496.60,311.16
102,5.10,92.67,95.00,-0.0177,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-496.03,312.31
103,5.15,93.43,95.00,-0.0179,1.00,0.00,KEEP_LANE,-3,999.00,True,True,-495.45,313.47
104,5.20,94.26,95.00,-0.1458,0.95,0.00,KEEP_LANE,-2,999.00,True,True,-494.86,314.63
105,5.25,94.98,95.00,-0.0819,0.23,0.00,KEEP_LANE,-2,999.00,True,True,-494.26,315.80
106,5.30,95.72,95.00,-0.0659,0.00,0.00,KEEP_LANE,-2,999.00,True,True,-493.63,316.97
107,5.35,96.09,95.00,-0.0489,0.00,0.00,KEEP_LANE,-2,999.00,True,True,-492.99,318.14
108,5.40,95.88,95.00,-0.0320,0.00,0.00,KEEP_LANE,-2,999.00,True,True,-492.33,319.30
109,5.45,95.22,95.00,-0.0163,0.00,0.00,KEEP_LANE,-2,999.00,True,True,-491.66,320.44
110,5.50,94.24,95.00,-0.0029,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-490.98,321.57
