Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free
67,3.35,28.00,23.63,-0.0000,0.00,0.30,KEEP_LANE,-1,75.89,False,False
68,3.40,27.73,23.80,-0.0000,0.00,0.24,KEEP_LANE,-1,75.77,False,False
69,3.45,27.23,24.38,-0.0000,0.00,0.11,KEEP_LANE,-1,75.65,False,False
70,3.50,26.84,24.80,-0.0000,0.00,0.00,KEEP_LANE,-1,75.55,False,False
71,3.55,26.28,25.56,-0.0000,0.00,0.00,KEEP_LANE,-1,75.47,False,False
72,3.60,25.87,26.12,-0.0000,0.06,0.00,KEEP_LANE,-1,75.40,False,False
73,3.65,25.29,26.85,-0.0000,1.00,0.00,KEEP_LANE,-1,75.34,False,False
74,3.70,24.90,27.06,-0.0000,1.00,0.00,KEEP_LANE,-1,75.30,False,False
75,3.75,24.46,27.19,-0.0000,1.00,0.00,KEEP_LANE,-1,75.27,False,False
76,3.80,24.39,26.84,-0.0000,1.00,0.00,KEEP_LANE,-1,75.23,False,False
77,3.85,24.47,26.71,-0.0000,1.00,0.00,KEEP_LANE,-1,75.20,False,False
78,3.90,25.01,26.24,-0.0000,1.00,0.00,KEEP_LANE,-1,75.15,False,False
79,3.95,25.67,21.40,-0.0000,0.00,0.28,KEEP_LANE,-1,75.05,False,False
80,4.00,26.68,21.60,0.0000,0.00,0.39,KEEP_LANE,-1,74.91,False,False
81,4.05,27.52,21.91,-0.0000,0.00,0.45,KEEP_LANE,-1,74.76,False,False
82,4.10,28.06,22.12,0.0000,0.00,0.49,KEEP_LANE,-1,74.61,False,False
83,4.15,28.06,22.39,-0.0000,0.00,0.46,KEEP_LANE,-1,74.46,False,False
84,4.20,27.93,22.64,-0.0000,0.00,0.41,KEEP_LANE,-1,74.32,False,False
85,4.25,27.50,22.95,0.0000,0.00,0.32,KEEP_LANE,-1,74.18,False,False
86,4.30,27.12,22.91,-0.0000,0.00,0.28,KEEP_LANE,-1,74.06,False,False
87,4.35,26.53,23.17,0.0000,0.00,0.17,KEEP_LANE,-1,73.94,False,False
88,4.40,26.08,23.27,-0.0000,0.00,0.10,KEEP_LANE,-1,73.83,False,False
89,4.45,25.45,23.31,-0.0000,0.00,0.02,KEEP_LANE,-1,73.72,False,False
90,4.50,25.01,23.22,-0.0000,0.00,0.00,KEEP_LANE,-1,73.63,False,False
91,4.55,24.40,23.57,0.0000,0.00,0.00,KEEP_LANE,-1,73.54,False,False
92,4.60,23.96,23.77,0.0000,0.00,0.00,KEEP_LANE,-1,73.47,False,False
93,4.65,23.34,24.32,-0.0000,0.79,0.00,KEEP_LANE,-1,73.40,False,False
94,4.70,22.93,24.56,-0.0000,1.00,0.00,KEEP_LANE,-1,73.35,False,False
95,4.75,22.44,24.89,-0.0000,1.00,0.00,KEEP_LANE,-1,73.31,False,False
96,4.80,22.31,24.71,0.0000,1.00,0.00,KEEP_LANE,-1,73.28,False,False
97,4.85,22.30,24.68,0.0000,1.00,0.00,KEEP_LANE,-1,73.24,False,False
98,4.90,22.76,24.29,0.0000,1.00,0.00,KEEP_LANE,-1,73.20,False,False
99,4.95,23.35,19.44,-0.0000,0.00,0.24,KEEP_LANE,-1,73.11,False,False
100,5.00,24.16,19.60,0.0000,0.00,0.32,KEEP_LANE,-1,72.97,False,False
101,5.05,24.53,19.54,0.0000,0.00,0.37,KEEP_LANE,-1,72.84,False,False
102,5.10,24.68,19.03,0.0000,0.00,0.46,KEEP_LANE,-1,72.69,False,False
103,5.15,24.42,18.30,0.0000,0.00,0.52,KEEP_LANE,-1,72.54,False,False
104,5.20,24.15,17.29,-0.0000,0.00,0.61,KEEP_LANE,-1,72.38,False,False
105,5.25,23.57,16.37,0.0000,0.00,0.65,KEEP_LANE,-1,72.21,False,False
106,5.30,23.08,14.49,0.0000,0.00,0.82,KEEP_LANE,-1,72.03,False,False
107,5.35,22.31,10.39,-0.0000,0.00,1.00,KEEP_LANE,-1,71.82,False,False
108,5.40,20.75,5.72,0.0000,0.00,1.00,KEEP_LANE,-1,71.55,False,False
109,5.45,15.92,5.01,0.0000,0.00,1.00,KEEP_LANE,-1,71.30,False,False
110,5.50,11.07,5.00,-0.0000,0.00,0.51,KEEP_LANE,-1,71.12,False,False
111,5.55,6.24,5.01,-0.0000,0.00,0.00,KEEP_LANE,-1,71.01,False,False
112,5.60,1.49,5.02,-0.0000,1.00,0.00,KEEP_LANE,-1,70.96,False,False
113,5.65,2.40,5.02,0.0000,1.00,0.00,KEEP_LANE,-1,70.94,False,False
114,5.70,3.01,5.02,0.0000,1.00,0.00,KEEP_LANE,-1,70.90,False,False
115,5.75,3.77,5.02,-0.0003,0.96,0.00,KEEP_LANE,-1,70.85,False,False
116,5.80,4.56,5.01,0.0001,0.16,0.00,KEEP_LANE,-1,70.79,False,False
117,5.85,5.44,5.01,0.0001,0.00,0.00,KEEP_LANE,-1,70.72,False,False
118,5.90,6.25,5.00,0.0004,0.00,0.00,KEEP_LANE,-1,70.64,False,False
119,5.95,6.72,5.00,-0.0000,0.00,0.00,KEEP_LANE,-1,70.55,False,False
120,6.00,6.93,5.00,0.0003,0.00,0.00,KEEP_LANE,-1,70.45,False,False
121,6.05,6.99,5.00,0.0000,0.00,0.00,KEEP_LANE,-1,70.36,False,False
122,6.10,6.96,5.00,0.0003,0.00,0.00,KEEP_LANE,-1,70.26,False,False
123,6.15,6.88,5.00,0.0000,0.00,0.00,KEEP_LANE,-1,70.16,False,False
124,6.20,6.77,5.00,0.0003,0.00,0.00,KEEP_LANE,-1,70.07,False,False
125,6.25,6.65,5.00,0.0000,0.00,0.00,KEEP_LANE,-1,69.98,False,False
126,6.30,6.53,5.00,0.0003,0.00,0.00,KEEP_LANE,-1,69.89,False,False
127,6.35,6.40,5.00,0.0000,0.00,0.00,KEEP_LANE,-1,69.80,False,False
128,6.40,6.27,5.00,0.0003,0.00,0.00,KEEP_LANE,-1,69.71,False,False
129,6.45,6.14,5.00,0.0000,0.00,0.00,KEEP_LANE,-1,69.62,False,False
130,6.50,6.02,5.00,0.0003,0.00,0.00,KEEP_LANE,-1,69.54,False,False
131,6.55,5.89,5.00,-0.0000,0.00,0.00,KEEP_LANE,-1,69.46,False,False
132,6.60,5.77,5.00,0.0003,0.00,0.00,KEEP_LANE,-1,69.37,False,False
133,6.65,5.65,5.00,-0.0000,0.00,0.00,KEEP_LANE,-1,69.30,False,False
134,6.70,5.54,5.00,0.0003,0.00,0.00,KEEP_LANE,-1,69.22,False,False
